"date","weighted","close","high","low","open","volume"
"2019-10-15 17:10:00","175.733394","174.76","181.21","172.18","180.74","41807909.3"
"2019-10-16 17:10:00","176.448901","177.5","179.17","173","174.76","33869835.99"
"2019-10-17 17:10:00","173.084929","173.29","177.63","168.69","177.5","42094048.87"
"2019-10-18 17:10:00","173.089252","172.37","175.36","170.35","173.29","23270105.21"
"2019-10-19 17:10:00","173.631751","175.84","176.97","169.74","172.37","22836780.62"
"2019-10-20 17:10:00","174.773316","174.64","178.34","172.18","175.84","33810983.39"
"2019-10-21 17:10:00","173.587835","171.64","175.63","171.01","174.64","23452048.09"
"2019-10-22 17:10:00","161.745794","162.72","171.84","153.97","171.64","80047148.93"
"2019-10-23 17:10:00","161.210933","161.07","164.16","159.19","162.72","39716644.48"
"2019-10-24 17:10:00","176.006043","181.79","187.71","160.91","161.07","77032902.94"
"2019-10-25 17:10:00","186.23376","180.16","198.61","174.15","181.79","117516350.23"
"2019-10-26 17:10:00","183.686849","184.34","189.11","177.07","180.16","42725711.73"
"2019-10-27 17:10:00","183.956253","182.09","189.97","181.01","184.34","42175797.18"
"2019-10-28 17:10:00","188.00078","191.11","193.12","181.82","182.09","45370015.77"
"2019-10-29 17:10:00","184.983564","183.52","192.15","180.48","191.11","47220547.3"
"2019-10-30 17:10:00","182.192558","182.59","185.51","178.13","183.52","35966379.6"
"2019-10-31 17:10:00","181.484622","183.4","184.93","177.75","182.59","27543100.78"
"2019-11-01 17:11:00","184.047127","183.45","186.08","182.31","183.4","16545336.13"
"2019-11-02 17:11:00","181.98055","181.92","185.11","179.3","183.45","14452473.12"
"2019-11-03 16:11:00","185.807543","186.49","189.58","180.76","181.92","29413921.15"
"2019-11-04 16:11:00","187.914682","188.96","192.27","182.63","186.49","45044355.68"
"2019-11-05 16:11:00","190.834528","191.24","194.57","188.09","188.96","31804656.09"
"2019-11-06 16:11:00","187.273077","186.54","192.28","184.54","191.24","27312800.75"
"2019-11-07 16:11:00","183.94982","183.85","188.16","181.02","186.54","36231633.96"
"2019-11-08 16:11:00","184.49351","185.11","185.69","182.87","183.85","15174945.44"
"2019-11-09 16:11:00","188.795507","189.29","191.91","183.7","185.11","29127012.15"
"2019-11-10 16:11:00","186.607949","184.91","190.4","184.12","189.29","21550803.45"
"2019-11-11 16:11:00","185.387312","187.09","187.42","182.44","184.91","28896561.37"
"2019-11-12 16:11:00","187.30441","188.1","189.66","185.36","187.09","26854046.76"
"2019-11-13 16:11:00","185.001724","184.68","188.7","183.06","188.1","30085587.24"
"2019-11-14 16:11:00","181.648886","180.03","186.68","177.53","184.68","51630458.85"
"2019-11-15 16:11:00","181.92078","182.61","183.56","179.31","180.03","15237211.5"
"2019-11-16 16:11:00","184.070259","184.2","186.52","180.5","182.61","18396189.69"
"2019-11-17 16:11:00","180.050767","178.23","184.38","174.98","184.2","30569260.48"
"2019-11-18 16:11:00","175.464401","175.96","178.44","172.92","178.23","26543424.58"
"2019-11-19 16:11:00","175.589026","174.68","177.49","173.63","175.96","23057265.81"
"2019-11-20 16:11:00","164.609561","161.18","175.76","156.47","174.68","59142459.03"
"2019-11-21 16:11:00","150.632157","150.22","162.83","138.37","161.18","102569820.66"
"2019-11-22 16:11:00","150.887442","152.42","154.73","146.77","150.22","32658183.46"
"2019-11-23 16:11:00","146.115125","140.42","153.37","139.33","152.42","34788247.69"
"2019-11-24 16:11:00","142.085045","146.22","151.91","132.48","140.42","89784814.66"
"2019-11-25 16:11:00","146.886588","148","150.1","144","146.22","27319227.88"
"2019-11-26 16:11:00","149.094507","153.05","155.94","141.42","148","53029091.98"
"2019-11-27 16:11:00","152.469987","151.31","154.91","149.76","153.05","26205791.23"
